timestamp,open,high,low,close,volume,rsi,macd_hist,bb_position,bb_width,atr,sma_20,sma_50,sma_20_50_ratio,volume_ratio,price_change_1h,price_change_4h,volatility,hour_sin,hour_cos,day_of_week,future_change,label
2025-09-19 08:00:00,4536.1,4546.1,4527.7,4527.7,2.9692,41.30114852853916,-10.695397583513618,0.07204493206093165,0.025825461793013208,23.119909891307664,4578.3,4534.746,0.9604507066106827,0.49273027033620054,-0.1609702315325312,-0.570964270812746,0.662409118305845,0.8660254037844387,-0.4999999999999998,0.6666666666666666,-0.1766901517326678,0
2025-09-19 09:00:00,4533.8,4540.7,4514.7,4519.7,5.8805,39.47648575944292,-10.591035745128869,0.06884460223504475,0.02812762757604611,23.325630613357117,4575.185,4534.342000000001,0.9007481129566175,0.9826578970235348,-0.17669015173267244,-0.3219901638621292,0.7214584247134183,0.7071067811865476,-0.7071067811865475,0.6666666666666666,0.13275217381684626,0
2025-09-19 10:00:00,4519.9,4532.5,4519.2,4525.7,0.2216,41.561761751366284,-9.629898650259161,0.15708416860791452,0.02939270875494125,22.60951414097448,4571.780000000001,4534.732,0.8169832307620473,0.03792121252050286,0.13275217381685245,0.06854464246228709,0.7539070722928377,0.49999999999999994,-0.8660254037844387,0.6666666666666666,-0.32039242548114105,-1
2025-09-19 11:00:00,4519.7,4519.7,4505.6,4511.2,8.1665,38.14164984640639,-9.468449439147193,0.10384512984869418,0.031109185756851752,22.430263130904837,4567.49,4535.116,0.7138516412810603,1.3358873840310213,-0.3203924254811419,-0.5248070562293261,0.7979337784381427,0.258819045102521,-0.9659258262890682,0.6666666666666666,0.1285688951941874,0
2025-09-19 12:00:00,4515.5,4517.0,4514.5,4517.0,0.4044,40.2593336022032,-8.499613448432125,0.17831935101409316,0.031102742882235534,21.242387192983077,4562.65,4535.907999999999,0.589562222161466,0.0699925836246085,0.12856889519419212,-0.23632307794243523,0.7977685221911066,1.2246467991473532e-16,-1.0,0.6666666666666666,0.22581359309275664,1
2025-09-19 13:00:00,4521.7,4533.4,4512.5,4527.2,2.6569,43.896865106510305,-6.775340990361573,0.2733076424229464,0.030298649884188424,21.21793096491283,4558.51,4536.678,0.4812331842815487,0.471576129930592,0.22581359309274962,0.16594021727105446,0.777143971964617,-0.2588190451025208,-0.9659258262890683,0.6666666666666666,-0.7907757554338263,-1
2025-09-19 14:00:00,4524.5,4541.1,4484.1,4491.4,14.7914,35.684260105938606,-7.588134964250573,0.07151477725297502,0.03155252567686477,23.77379303884763,4552.955,4536.356,0.365910435600747,2.346304998711161,-0.7907757554338257,-0.7578938064829788,0.8093052074518557,-0.4999999999999997,-0.8660254037844388,0.6666666666666666,-0.44752193080107444,-1
2025-09-19 15:00:00,4494.9,4494.9,4444.7,4471.3,16.1717,32.05783035135467,-8.92927280691447,0.01595573280888078,0.034514874910204406,25.661379250358497,4547.2699999999995,4536.06,0.24713076987514793,2.357294454453754,-0.44752193080107583,-0.8844653307323869,0.8852878620699185,-0.7071067811865471,-0.7071067811865479,0.6666666666666666,0.15879050835326314,0
2025-09-19 16:00:00,4476.9,4485.1,4476.9,4478.4,11.3404,34.586639245483624,-8.775069614194582,0.10697673502011021,0.03513633989146512,24.814137875332904,4541.11,4536.098,0.1104914399997492,1.6337856099395205,0.15879050835325703,-0.8545494797432052,0.9012281025037313,-0.8660254037844385,-0.5000000000000004,0.6666666666666666,-0.4130939621293319,-1
2025-09-19 17:00:00,4477.9,4477.9,4451.9,4459.9,5.3802,31.315943385648467,-9.305431251304107,0.05351756540861959,0.03683024352607593,24.93455659852341,4534.464999999999,4535.546,-0.023833955162200215,0.78258479020089,-0.4130939621293295,-1.4865700653825753,0.9446758139944574,-0.9659258262890683,-0.25881904510252063,0.6666666666666666,-0.34081481647570167,-1
